#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Wed Feb  5 17:31:02 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       execute_unit_map.ncd
#OUTPUT FILE:      execute_unit_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
T5,busA<28>,IOB,IO_L04N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T6,,,VCCO_2,,,2,,,,,2.50,,,,
T7,instr<4>,IBUF,IP_L08P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T8,busB<10>,IOB,IO_L10N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T9,,,GND,,,,,,,,,,,,
T10,instr<14>,IBUF,IP_L14N_2/M2/GCLK1,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T11,instr<18>,IBUF,IP_L17P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T12,instr<24>,IBUF,IO_L20P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T13,,,VCCO_2,,,2,,,,,2.50,,,,
T14,instr<26>,IBUF,IO_L24P_2/A21,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T15,instr<20>,IBUF,IO/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T16,busW<2>,IOB,IO_L26P_2/VS0/A17,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T17,instr<22>,IBUF,IO_L01N_1/A15,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T18,instr<16>,IBUF,IO_L02N_1/A13,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
U1,,IBUF,IP,UNUSED,,3,,,,,,,,,
U2,,,GND,,,,,,,,,,,,
U3,busB<8>,IOB,IO_L01P_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U4,busA<8>,IOB,IO_L03P_2/DOUT/BUSY,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U5,instr<9>,IBUF,IO/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U6,instr<3>,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U7,,,VCCAUX,,,,,,,,2.5,,,,
U8,instr<6>,IBUF,IP_L11P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U9,busB<28>,IOB,IO_L13P_2/D4/GCLK14,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U10,instr<11>,IBUF,IP_L14P_2/RDWR_B/GCLK0,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U11,instr<19>,IBUF,IP_L17N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U12,,,VCCAUX,,,,,,,,2.5,,,,
U13,instr<30>,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U14,instr<31>,IBUF,IP_L23N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U15,instr<21>,IBUF,IO_L25N_2/VS1/A18,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U16,instr<17>,IBUF,IO_L26N_2/CCLK,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U17,,,GND,,,,,,,,,,,,
U18,busW<6>,IOB,IO_L01P_1/A16,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V1,,,GND,,,,,,,,,,,,
V2,instr<0>,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V3,instr<2>,IBUF,IP_L02N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V4,instr<1>,IBUF,IP_L02P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V5,,,NC,,,,,,,,,,,,
V6,,,NC,,,,,,,,,,,,
V7,,,NC,,,,,,,,,,,,
V8,instr<7>,IBUF,IP_L11N_2/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V9,busB<27>,IOB,IO_L13N_2/D3/GCLK15,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V10,,,VCCO_2,,,2,,,,,2.50,,,,
V11,busB<29>,IOB,IO/M1,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V12,busW<7>,IOB,IO_L19P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V13,instr<29>,IBUF,IO_L19N_2/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V14,instr<28>,IBUF,IP_L23P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V15,busW<10>,IOB,IO_L25P_2/VS2/A19,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V16,,IBUF,IP,UNUSED,,2,,,,,,,,,
V17,,,DONE,,,,,,,,,,,,
V18,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
